Year ,Month ,RATED KW,VOLT,RATED AMP,RPM,TESTING AMP,Location
2021,May,0.12,220,0.5,1350,0.4,Insulation Weak
2021,May,0.4,220,3,2850,1.4,Bearing Jamad
2021,May,0.55,135,4,2770,,Over Load
2021,May,0.55,380,1.68,890,,Over Load
2021,May,0.08,220,0.34,350,0.3,Insulation Weak
2021,May,2.2,380,4.9,1450,,Phase Miss
2021,June ,0.5,180,2.1,1700,,Over Load
2021,June ,1.1,380,2.8,1400,1.8,bearing Damage
2021,June ,0.08,220,0.34,350,0.3,Insulation Weak
2021,June ,0.08,220,0.34,350,0.3,Insulation Weak
2021,June ,0.08,220,0.34,350,0.3,Insulation Weak
2021,June ,0.08,220,0.34,350,0.3,Insulation Weak
2021,June ,0.08,220,0.34,350,0.3,Insulation Weak
2021,June ,0.08,220,0.34,350,0.3,Insulation Weak
2021,June ,1.2,220,8,3000,,Insulation Weak
2021,June ,3,380,6.2,1450,3.5,Over Load
2021,June ,0.12,220,0.5,1350,0.4,Insulation Weak
2021,June ,0.15,220,0.9,3000,0.8,Bearing Jamed
2021,June ,1.1,380,2.13,1365,1.8,Insulation Weak
2021,June ,0.12,220,0.5,1350,0.4,Insulation Weak
2021,June ,0.08,220,0.34,350,0.3,Insulation Weak
2021,June ,2.8,380,6,1450,2.8,Over Load
2021,June ,1.5,220,10,3000,,Over Load
2021,June ,1.1,380,2.6,1400,1.3,Phase Miss
2021,July ,0.4,220,3,2850,1.4,Bearing Jamed
2021,July,0.4,220,3,2850,1.6,Over Load
2021,July,0.12,400,0.9,1370,0.5,Over Load
2021,July,4.4,380,9.2,1440,6,Phase Miss
2021,July,0.55,135,4,2770,,Over Load
2021,July,1.5,220,10,1450,,Bearing Damage
2021,July,0.12,220,0.5,1350,0.4,Insulation Weak
2021,July,0.4,220,3,2850,1.5,Bearing Jamed
2021,July,0.4,220,3,2850,1.3,Over Load
2021,July,0.4,220,3,2850,1.3,Over Load
2021,July,0.37,380,1.2,1400,0.3,Over Load
2021,July,0.65,220,1.2,1350,,Insulation Weak
2021,July,0.45,220,0.5,1350,0.2,Insulation Weak
2021,July,1.5,380,3.3,2860,2.5,Bearing Damage
2021,July,1.1,380,2.75,1400,1.3,Phase Miss
2021,July,0.45,220,1,1350,0.2,Insulation Weak
2021,August,0.55,220,0.8,1400,0.4,Insulation Weak
2021,August,1.1,380,2.8,2880,,Water Penetration
2021,August,0.4,220,2,2850,1.2,Over Load (Hade Jamed)
2021,August,0.4,220,3,2850,1.4,Over Load  (Clutch)
2021,August,0.12,220,1,1400,0.5,Bearing Jamed
2021,August,1.5,380,3.4,1420,,Over Load  (Gear Jamed)
2021,August,3,400,6.8,1450,5,Bearing Jamed
2021,August,0.4,220,3,2850,1.3,Over Load  (Clutch)
2021,August,0.37,400,1.11,1370,0.9,Over Load
2021,August,1.1,380,2.8,1420,2,Phase Miss
2021,August,0.4,220,2,2850,1.2,Bearing Jamed
2021,August,0.4,220,3,2850,1.5,Over Load  
2021,August,0.37,380,1.2,1380,1,Bearing Damage
2021,August,0.08,220,0.5,1400,,Insulation Weak
2021,August,0.12,220,0.5,1350,0.4,Insulation Weak
2021,August,0.75,400,2.1,915,,Over Load  
2021,August,0.2,220,,,,Insulation Weak
2021,August,0.08,220,0.34,350,0.3,Insulation Weak
2021,August,0.08,220,0.34,350,0.3,Insulation Weak
2021,August,0.5,180,2.1,1700,1.2,Over Load (Magnet Damage)
2021,Septeember ,0.45,220,1,1350,0.2,Insulation Weak
2021,Septeember ,0.55,135,4,2770,,Over Load
2021,Septeember ,0.55,400,1.7,920,,Bearing Jamed
2021,Septeember ,1.1,380,2.8,1400,2,Bearing Jamed
2021,Septeember ,25,400,,1500,,Water Penetration
2021,Septeember ,0.18,380,0.64,1400,0.45,Over Load
2021,Septeember ,0.12,400,0.9,1370,0.5,Over Load
2021,Septeember ,0.65,220,1.2,1350,,Insulation Weak
2021,Septeember ,0.65,220,1.2,1350,,Insulation Weak
2021,Septeember ,0.4,220,3,2850,1.5,Bearing Jamad
2021,Septeember ,1.1,380,2.8,1400,,Over Load
2021,Septeember ,0.45,220,1,1350,0.2,Insulation Weak
2021,Septeember ,0.75,220,5,1450,4,Over Load
2021,Septeember ,0.75,220,6,1450,3.8,Over Load
2021,Septeember ,0.08,220,0.34,350,0.3,Insulation Weak
2021,Septeember ,4,380,8.2,380,3,Water Penetration
2021,Septeember ,0.5,220,1.3,2800,0.5,Bearing Jamad
2021,Septeember ,1.1,380,2.13,1365,1.8,Over Load
2021,Septeember ,1.1,380,2.9,1400,2,Bearing Damage
2021,October ,1.1,380,2.13,1365,1.9,Over Load
2021,October ,1.5,380,3.8,1450,2.6,Bearing Damage
2021,October ,1.1,400,3.2,1380,1.5,Insulation Weak
2021,October ,0.45,220,0.55,900,0.4,Bearing Jamed
2021,October ,22,400,40.6,1468,16,Over Load   (Gear Problem)
2021,October ,0.33,180,1.6,1750,0.6,Over Load 
2021,October ,5.2,380,11.3,1380,4.2,Bearing Jamed
2021,October ,0.4,220,3,2850,1.3,Bearing Jamed
2021,October ,2.2,400,4.6,2850,2.5,Water Penetration
2021,October ,0.08,220,0.36,350,0.5,Insulation Weak
2021,October ,2.2,400,4.9,1430,2.6,Insulation Weak
2021,October ,0.12,220,0.5,1350,0.4,Insulation Weak
2021,October ,5.5,380,11.4,1415,5.5,Phase Miss
2021,October ,0.4,220,2,2850,1.2,Over Load 
2021,October ,0.4,220,2.8,2850,2,Over Load 
2021,October ,2.2,380,5,2900,1.7,Over Load 
2021,November ,1.1,380,2.8,1400,1.9,Bearing Damag
2021,November ,0.25,380,1.56,875,1.2,Water Penetration
2021,November ,1.1,380,2.7,1390,1.7,Over Load
2021,November ,0.28,220,0.5,1475,,Bush Jamed
2021,November ,0.33,220,0.6,1475,,Insulation Weak
2021,November ,0.08,220,0.34,350,0.3,Insulation Weak
2021,November ,2.2,380,4.2,2900,,Water Penetration
2021,November ,0.12,220,0.5,1350,0.4,Insulation Weak
2021,November ,1.1,380,2.13,1365,1.9,Bearing Jamed
2021,December ,0.75,380,2.2,1720,,Phase Miss
2021,December ,0.035,200,1,,,Over Load
2021,December ,22,400,40.6,1468,18,Over Load 
2021,December ,1.8,380,3.6,2900,1.6,Water Penetration
2021,December ,0.4,220,2.9,2850,1.3,Over Load 
2021,December ,1.1,380,2.7,1425,1.8,Over Load 
2021,December ,0.75,380,1.5,1450,0.5,Over Load 
2021,December ,0.35,220,1,1400,,Over Load 
2021,December ,1.1,380,2.13,1365,1.8,Over Load
2021,December ,0.4,220,3,2850,1.5,Bearing Jamed
2021,December ,0.4,220,2.8,2850,1.4,Bearing Jamed
